Title,Price,Opening,About,Detail,Skill,Location
Teaching,"7,000-25,000 /month",20,"Selected intern's day-to-day responsibilities include:

1. Travel to the student's location & deliver lessons
2. Teach any preferential class from nursery to 12th (academics)
3. Teach at your preferential zones (nearby your locality)
4. Teach from 14 hours/week to 48 hours/week","Nerdy Academy is a professional home service provider for students of classes nursery to 12. We revolutionize the tutoring industry with one-to-one education. Nerdy was founded in the June of 2013. Since then we have been evolving, enchanting, and happening to cities, people, tutors, and ideas. With a workforce of 200 tutors in each city, Nerdy is growing, one city at a time. Our tutors are wide & versatile in their qualifications & designations. We aim to cover the globe. We'll make learning personalized. We'll eliminate unemployment by generating jobs. Believe us when we say, we can & we will. We are operational in the cities of Indore, Bhopal, Raipur, Bhilai & Durg.","['Hindi Proficiency (Spoken)', 'Teaching']","['Delhi', 'Noida', 'Bhilai', 'Durg', 'Mumbai', 'Raipur', 'Bhilai', 'Durg', 'Mumbai', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Ambikapur', 'Bhilai', 'Bilaspur', 'Durg', 'Chandrapur', 'Raipur', 'Korba', 'Ratanpur', 'Rajnandgaon', 'Ambikapur', 'Bhilai', 'Bilaspur', 'Durg', 'Chandrapur', 'Raipur', 'Korba', 'Ratanpur', 'Rajnandgaon', 'Bhilai', 'Bhilai', 'Bhilai', 'Durg', 'Raipur', 'Bhilai', 'Durg', 'Raipur', 'Akola', 'Bhilai', 'Amravati', 'Nagpur', 'Akola', 'Bhilai', 'Amravati', 'Nagpur', 'Bhilai', 'Bhilai', 'Bhilai', 'Durg', 'Balod', 'Khairagarh', 'Kawardha', 'Baloda Bazaar', 'Raipur', 'Kumhari', 'Ahiwara', 'Rajnandgaon', 'Bhilai Charoda', 'Patan', 'Utai', 'Anjora', 'Bemetra', 'Bhilai', 'Durg', 'Balod', 'Khairagarh', 'Kawardha', 'Baloda Bazaar', 'Raipur', 'Kumhari', 'Ahiwara', 'Rajnandgaon', 'Bhilai Charoda', 'Patan', 'Utai', 'Anjora', 'Bemetra', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Bemetra', 'Ahiwara', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Bemetra', 'Ahiwara', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Naya Raipur', 'Kumhari', 'Ahiwara', 'Kurud', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Jamul', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Naya Raipur', 'Kumhari', 'Ahiwara', 'Kurud', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Jamul', 'Bhilai', 'Durg', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Durg Bhalai', 'Bhilai Charoda M Part', 'Bemetra', 'Jamul', 'Bhilaibazar', 'Bhilai', 'Durg', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Durg Bhalai', 'Bhilai Charoda M Part', 'Bemetra', 'Jamul', 'Bhilaibazar', 'Delhi', 'Bhilai', 'Bihar', 'Rajasthan', 'Maharashtra', 'Delhi', 'Bhilai', 'Bihar', 'Rajasthan', 'Maharashtra', 'Bhilai', 'Durg', 'Mumbai', 'Raipur', 'Bhilai', 'Durg', 'Mumbai', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Ambikapur', 'Bhilai', 'Bilaspur', 'Durg', 'Chandrapur', 'Raipur', 'Korba', 'Ratanpur', 'Rajnandgaon', 'Ambikapur', 'Bhilai', 'Bilaspur', 'Durg', 'Chandrapur', 'Raipur', 'Korba', 'Ratanpur', 'Rajnandgaon', 'Bhilai', 'Bhilai', 'Bhilai', 'Durg', 'Raipur', 'Bhilai', 'Durg', 'Raipur', 'Akola', 'Bhilai', 'Amravati', 'Nagpur', 'Akola', 'Bhilai', 'Amravati', 'Nagpur', 'Bhilai', 'Bhilai', 'Bhilai', 'Durg', 'Balod', 'Khairagarh', 'Kawardha', 'Baloda Bazaar', 'Raipur', 'Kumhari', 'Ahiwara', 'Rajnandgaon', 'Bhilai Charoda', 'Patan', 'Utai', 'Anjora', 'Bemetra', 'Bhilai', 'Durg', 'Balod', 'Khairagarh', 'Kawardha', 'Baloda Bazaar', 'Raipur', 'Kumhari', 'Ahiwara', 'Rajnandgaon', 'Bhilai Charoda', 'Patan', 'Utai', 'Anjora', 'Bemetra', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Bemetra', 'Ahiwara', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Bemetra', 'Ahiwara', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Naya Raipur', 'Kumhari', 'Ahiwara', 'Kurud', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Jamul', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Naya Raipur', 'Kumhari', 'Ahiwara', 'Kurud', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Jamul', 'Bhilai', 'Durg', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Durg Bhalai', 'Bhilai Charoda M Part', 'Bemetra', 'Jamul', 'Bhilaibazar', 'Bhilai', 'Durg', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Durg Bhalai', 'Bhilai Charoda M Part', 'Bemetra', 'Jamul', 'Bhilaibazar', 'Delhi', 'Bhilai', 'Bihar', 'Rajasthan', 'Maharashtra', 'Delhi', 'Bhilai', 'Bihar', 'Rajasthan', 'Maharashtra', 'Bhilai', 'Durg', 'Mumbai', 'Raipur', 'Bhilai', 'Durg', 'Mumbai', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur', 'Ambikapur', 'Bhilai', 'Bilaspur', 'Durg', 'Chandrapur', 'Raipur', 'Korba', 'Ratanpur', 'Rajnandgaon', 'Ambikapur', 'Bhilai', 'Bilaspur', 'Durg', 'Chandrapur', 'Raipur', 'Korba', 'Ratanpur', 'Rajnandgaon', 'Bhilai', 'Bhilai', 'Bhilai', 'Durg', 'Raipur', 'Bhilai', 'Durg', 'Raipur', 'Akola', 'Bhilai', 'Amravati', 'Nagpur', 'Akola', 'Bhilai', 'Amravati', 'Nagpur', 'Bhilai', 'Bhilai', 'Bhilai', 'Durg', 'Balod', 'Khairagarh', 'Kawardha', 'Baloda Bazaar', 'Raipur', 'Kumhari', 'Ahiwara', 'Rajnandgaon', 'Bhilai Charoda', 'Patan', 'Utai', 'Anjora', 'Bemetra', 'Bhilai', 'Durg', 'Balod', 'Khairagarh', 'Kawardha', 'Baloda Bazaar', 'Raipur', 'Kumhari', 'Ahiwara', 'Rajnandgaon', 'Bhilai Charoda', 'Patan', 'Utai', 'Anjora', 'Bemetra', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Bemetra', 'Ahiwara', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Bemetra', 'Ahiwara', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Naya Raipur', 'Kumhari', 'Ahiwara', 'Kurud', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Jamul', 'Bhilai', 'Durg', 'Bemetara', 'Khairagarh', 'Kawardha', 'Raipur', 'Naya Raipur', 'Kumhari', 'Ahiwara', 'Kurud', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Anjora', 'Jamul', 'Bhilai', 'Durg', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Durg Bhalai', 'Bhilai Charoda M Part', 'Bemetra', 'Jamul', 'Bhilaibazar', 'Bhilai', 'Durg', 'Khairagarh', 'Kawardha', 'Raipur', 'Kumhari', 'Charoda', 'Rajnandgaon', 'Bhilai Charoda', 'Durg Bhalai', 'Bhilai Charoda M Part', 'Bemetra', 'Jamul', 'Bhilaibazar', 'Delhi', 'Bhilai', 'Bihar', 'Rajasthan', 'Maharashtra', 'Delhi', 'Bhilai', 'Bihar', 'Rajasthan', 'Maharashtra', 'Bhilai', 'Durg', 'Mumbai', 'Raipur']"
Teaching,"7,000-25,000 /month",20,"Selected intern's day-to-day responsibilities include:

1. Travel to the student's location & deliver lessons
2. Teach any preferential class from nursery to 12th (academics)
3. Teach at your preferential zones (nearby your locality)
4. Teach from 14 hours/week to 48 hours/week","Nerdy Academy is a professional home service provider for students of classes nursery to 12. We revolutionize the tutoring industry with one-to-one education. Nerdy was founded in the June of 2013. Since then we have been evolving, enchanting, and happening to cities, people, tutors, and ideas. With a workforce of 200 tutors in each city, Nerdy is growing, one city at a time. Our tutors are wide & versatile in their qualifications & designations. We aim to cover the globe. We'll make learning personalized. We'll eliminate unemployment by generating jobs. Believe us when we say, we can & we will. We are operational in the cities of Indore, Bhopal, Raipur, Bhilai & Durg.","['Hindi Proficiency (Spoken)', 'Teaching']","['Bhilai', 'Durg', 'Mumbai', 'Raipur']"
Office Administration,"3,000-8,000 /month",5,"Selected intern's day-to-day responsibilities include:

1. Working on backend tasks
2. Handling admin panel
3. Coordinating with the team
4. Sending e-mail and messages","iNAVMO (Mind Power Education LLP) was formed in 2008 and has been imparting brain development programs across multiple schools and institutes in various parts of India since then. Over 5000 students have undergone our various programs at our franchise centers and schools and have seen huge benefits in their goals. The founders are based out of Seattle, Washington USA and the company was registered in New Delhi. The offices are located in Kota, Raipur, and Chhattisgarh. Our programs are a boon for children and enable them to improve the brain functions holistically, of both left and the right brain.","['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office']","['Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur']"
Office Administration,"3,000-8,000 /month",5,"Selected intern's day-to-day responsibilities include:

1. Working on backend tasks
2. Handling admin panel
3. Coordinating with the team
4. Sending e-mail and messages","iNAVMO (Mind Power Education LLP) was formed in 2008 and has been imparting brain development programs across multiple schools and institutes in various parts of India since then. Over 5000 students have undergone our various programs at our franchise centers and schools and have seen huge benefits in their goals. The founders are based out of Seattle, Washington USA and the company was registered in New Delhi. The offices are located in Kota, Raipur, and Chhattisgarh. Our programs are a boon for children and enable them to improve the brain functions holistically, of both left and the right brain.","['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office']","['Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur']"
Marketing,"3,000-8,000 /month",10,"Selected intern's day-to-day responsibilities include:

1. Work on calling and converting clients
2. Work on data entries in Excel sheet
3. Work on e-mail marketing","iNAVMO (Mind Power Education LLP) was formed in 2008 and has been imparting brain development programs across multiple schools and institutes in various parts of India since then. Over 5000 students have undergone our various programs at our franchise centers and schools and have seen huge benefits in their goals. The founders are based out of Seattle, Washington USA and the company was registered in New Delhi. The offices are located in Kota, Raipur, and Chhattisgarh. Our programs are a boon for children and enable them to improve the brain functions holistically, of both left and the right brain.","['Client Relationship', 'Digital Advertising', 'Email Marketing', 'English Proficiency (Spoken)']","['Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur']"
Marketing,"3,000-8,000 /month",10,"Selected intern's day-to-day responsibilities include:

1. Work on calling and converting clients
2. Work on data entries in Excel sheet
3. Work on e-mail marketing","iNAVMO (Mind Power Education LLP) was formed in 2008 and has been imparting brain development programs across multiple schools and institutes in various parts of India since then. Over 5000 students have undergone our various programs at our franchise centers and schools and have seen huge benefits in their goals. The founders are based out of Seattle, Washington USA and the company was registered in New Delhi. The offices are located in Kota, Raipur, and Chhattisgarh. Our programs are a boon for children and enable them to improve the brain functions holistically, of both left and the right brain.","['Client Relationship', 'Digital Advertising', 'Email Marketing', 'English Proficiency (Spoken)']","['Bhilai', 'Bilaspur', 'Raigarh', 'Durg', 'Raipur']"
Event Promotion,"6,000 /week",3,"Selected intern's day-to-day responsibilities include:

1. Work on visitor promotions for the business event
2. Work on the distribution of event invitations in and around the city to prospective visitors
3. Work on compiling the business data in Excel","Peppermint Communications, is a 20-year-old organization, specializing in publishing, events, brand communications, advertising, web, and multimedia. The company is the mouthpiece of the Indian intimate apparel industry with their leading and only trade publication - Inner Secrets. The company is going through a phase of extraordinary growth and new business acquisitions.","['English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)']","['Ambikapur', 'Bhilai', 'Bilaspur', 'Durg', 'Chandrapur', 'Raipur', 'Korba', 'Ratanpur', 'Rajnandgaon']"
Event Promotion,"6,000 /week",3,"Selected intern's day-to-day responsibilities include:

1. Work on visitor promotions for the business event
2. Work on the distribution of event invitations in and around the city to prospective visitors
3. Work on compiling the business data in Excel","Peppermint Communications, is a 20-year-old organization, specializing in publishing, events, brand communications, advertising, web, and multimedia. The company is the mouthpiece of the Indian intimate apparel industry with their leading and only trade publication - Inner Secrets. The company is going through a phase of extraordinary growth and new business acquisitions.","['English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)']","['Ambikapur', 'Bhilai', 'Bilaspur', 'Durg', 'Chandrapur', 'Raipur', 'Korba', 'Ratanpur', 'Rajnandgaon']"
International HR And Staffing,"2,000 /month",20,"Selected intern's day-to-day responsibilities include:

1. Recruit for international staffing roles
2. Learn technical recruiting
3. Learn various technologies to find the best talents","Central Business Solutions, Incorporation (CBS)'s mission is to become a leader in providing business solutions with its niche products and services to businesses worldwide.

Incorporated in the year 2000, Central Business Solutions, Incorporation (CBS) has become a pioneer in providing business solutions and services to various organizations worldwide. Our organization has provided services to various small and big organizations, including fortune 500 companies.","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Free snacks & beverages', 'Job offer']",['Bhilai']
International HR And Staffing,"2,000 /month",20,"Selected intern's day-to-day responsibilities include:

1. Recruit for international staffing roles
2. Learn technical recruiting
3. Learn various technologies to find the best talents","Central Business Solutions, Incorporation (CBS)'s mission is to become a leader in providing business solutions with its niche products and services to businesses worldwide.

Incorporated in the year 2000, Central Business Solutions, Incorporation (CBS) has become a pioneer in providing business solutions and services to various organizations worldwide. Our organization has provided services to various small and big organizations, including fortune 500 companies.","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Free snacks & beverages', 'Job offer']",['Bhilai']
